Label,Tissue,Orientaiton,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
4576,V,,,1,0,0,0,1,0,0,0,0
7568,V,,,0.8149,0.579602,0,-0.579602,0.8149,0,2.2357,1.24344,0
26448,V,,,0.148215,0.988955,0,0.988955,-0.148215,0,5.85994,2.14338,0
15792,V,,,1,0,0,0,1,0,0,0,0
24496,V,,,0.885567,-0.464513,0,0.464513,0.885567,0,1.02942,0.573166,0
10648,V,,,0.950176,-0.311713,0,0.311713,0.950176,0,0.684416,0.511052,0
11608,A,C,,1,0,0,0,1,0,0,0,0
16836,V,,,0.990564,0.137048,0,-0.137048,0.990564,0,14.7033,6.82376,0
1572,G,L,V,1,0,0,0,1,0,0,0,0
7012,A,C,,-0.16823,0.985748,0,0.985748,0.16823,0,1.21546,0.343789,0
22756,A,C,,1,0,0,0,1,0,0,0,0
5092,V,,,0.883701,0.468052,0,-0.468052,0.883701,0,20.9868,8.14756,0
8404,V,,,0.969554,-0.244877,0,0.244877,0.969554,0,4.29252,0.859657,0
11892,V,,,0.875743,-0.482778,0,0.482778,0.875743,0,2.94864,0.844973,0
8564,V,,,0.983623,0.18024,0,-0.18024,0.983623,0,1.54922,0.971111,0
4636,A,C,,0.997967,-0.0637399,0,0.0637399,0.997967,0,3.80581,0.902581,0
2972,V,,,0.912427,-0.409241,0,0.409241,0.912427,0,4.33014,2.58585,0
20700,V,,,1,0,0,0,1,0,0,0,0
4220,V,,,-0.683096,0.730329,0,0.730329,0.683096,0,7.50054,3.50996,0
5116,A,C,,-0.448729,0.893668,0,0.893668,0.448729,0,0.731728,0.237031,0
29314,A,C,,-0.0088548,0.999961,0,0.999961,0.0088548,0,0.361756,0.168859,0
20866,V,,,1,0,0,0,1,0,0,0,0
4258,A,L,,0.997483,-0.0709084,0,0.0709084,0.997483,0,1.13321,0.31781,0
18402,G,U,V,1,0,0,0,1,0,0,0,0
30418,V,,,0.967072,0.254503,0,-0.254503,0.967072,0,0.691609,0.551232,0
26418,G,L,V,1,0,0,0,1,0,0,0,0
16026,V,,,1,0,0,0,1,0,0,0,0
16378,V,,,0.947311,-0.320315,0,0.320315,0.947311,0,2.89373,1.84819,0
19910,V,,,-0.509818,0.860283,0,0.860283,0.509818,0,20.0983,6.35321,0
17126,V,,,0.752754,-0.658302,0,0.658302,0.752754,0,13.0266,8.73991,0
32086,V,,,0.784542,0.620076,0,-0.620076,0.784542,0,1.97688,0.84792,0
23822,V,,,1,0,0,0,1,0,0,0,0
8142,V,,,0.395124,0.918628,0,0.918628,-0.395124,0,0.791644,0.499633,0
8750,V,,,-0.52682,0.849977,0,0.849977,0.52682,0,0.460051,0.383713,0
2334,V,,,0.940017,0.341127,0,-0.341127,0.940017,0,26.0964,3.33694,0
9502,A,C,,0.520897,0.853619,0,0.853619,-0.520897,0,0.0856492,0.0601076,0
34721,V,,,1,0,0,0,1,0,0,0,0
50681,A,C,,1,0,0,0,1,0,0,0,0
44837,V,,,1,0,0,0,1,0,0,0,0
36579,A,C,,0.994123,0.108258,0,-0.108258,0.994123,0,0.26534,0.0730609,0
47499,V,,,0.918578,-0.395239,0,0.395239,0.918578,0,10.9843,1.9284,0
35883,V,,,0.850188,0.52648,0,-0.52648,0.850188,0,4.66758,0.642012,0
41723,A,L,,0.917647,0.397396,0,-0.397396,0.917647,0,1.62783,1.06629,0
