Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
32640,0.0477825,0.998858,0,0.998858,-0.0477825,0,0.368035,0.128482,0,G,C
22360,0.0543801,0.99852,0,0.99852,-0.0543801,0,1.11456,0.319233,0,V,L
9252,0.182232,0.983256,0,0.983256,-0.182232,0,0.593519,0.300229,0,V,U
8738,0.138913,0.990305,0,0.990305,-0.138913,0,0.826579,0.288056,0,G,U
24930,0.658032,0.75299,0,0.75299,-0.658032,0,0.342632,0.180024,0,G,L
20818,0.335908,0.941895,0,0.941895,-0.335908,0,0.987769,0.570206,0,G,U
12850,-0.158164,0.987413,0,0.987413,0.158164,0,0.456882,0.198472,0,G,L
7710,-0.119927,0.992783,0,0.992783,0.119927,0,0.389917,0.225231,0,V,C
20702,-0.302901,0.953022,0,0.953022,0.302901,0,0.486718,0.226502,0,V,L
41633,0.293378,0.955997,0,0.955997,-0.293378,0,0.694695,0.39683,0,G,C
